run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
5,253,IEV,scram,26,0.8792374367368476,26,23.09894510363067,699,6537,7353,7652,8502,0,NA,7236
5,254,IEV,scram,18,0.8963146228948574,0,15.688744201405289,227,9619,9969,10268,11118,0,NA,9846
5,255,IEV,scram,31,0.8347394895218745,31,26.07240134332476,1276,12584,13984,14283,15133,0,NA,13860
5,256,IEV,scram,26,0.8507898222091749,26,21.696763170589538,1113,16516,17749,18049,18899,0,NA,17629
5,257,IEV,scram,14,0.8999682162300165,14,12.32410501325902,0,20015,20032,20331,21181,0,NA,20015
5,258,IEV,scram,51,0.7349750641883384,51,37.260034571565235,2047,22498,24664,24963,25813,0,NA,24545
5,259,IEV,scram,81,0.5702729243878352,0,46.09828162816984,2948,27229,30295,30594,31444,0,NA,30177
5,260,IEV,scram,28,0.8661266000619117,28,24.054165733528198,911,32911,33944,34243,35093,0,NA,33822
5,261,IEV,scram,46,0.7376593117450205,0,34.110822769836375,2021,36659,38809,39108,39958,0,NA,38680
5,262,IEV,scram,20,0.8767504125592576,20,17.327155399393444,750,41124,41991,42290,43140,0,NA,41874
5,263,IEV,scram,41,0.7482012781672422,41,31.02959114298408,1960,44557,46639,46939,47788,0,NA,46517
5,264,IEV,scram,40,0.7482012781672422,0,30.281389864816838,1965,49155,51238,51537,52387,0,NA,51120
5,265,IEV,scram,20,0.86390892396805,20,17.431167175745475,947,53903,54970,55269,56119,0,NA,54850
5,266,IEV,scram,87,0.5333875248163461,0,46.33114297154911,3126,57635,60884,61184,62033,0,NA,60761
5,267,IEV,scram,26,0.8686047425520846,26,22.856800061992736,873,63300,64300,64599,65449,0,NA,64173
5,268,IEV,scram,36,0.8135041823712637,36,29.08185544816303,1479,67015,68615,68914,69764,0,NA,68494
5,269,IEV,scram,24,0.8663370958821843,24,20.561170954273486,904,71031,72064,72363,73213,0,NA,71935
5,270,IEV,scram,141,0.3731557442760237,0,52.76514111090178,0,74796,78811,79111,79960,0,NA,74796
5,271,IEV,scram,30,0.8602447426539559,30,25.66769455764178,992,81277,82393,82693,83543,0,NA,82269
5,272,IEV,scram,45,0.7474368979194939,45,33.3356606054346,1983,84976,87075,87374,88224,0,NA,86959
5,273,IEV,scram,27,0.8536751669465525,0,23.048723038348072,1086,89841,91040,91340,92190,0,NA,90927
5,274,IEV,scram,34,0.8250520879982778,0,27.925639367141763,1381,93356,94856,95155,96005,0,NA,94737
5,275,IEV,scram,51,0.6796418912199178,0,34.94079743896943,2378,97121,99621,99920,100770,0,NA,99499
5,276,IEV,scram,77,0.5680536467213696,77,43.940638409723164,2970,101936,105019,105318,106168,0,NA,104906
5,277,IEV,scram,61,0.6239411178263089,0,38.15942452421382,2678,107384,110184,110483,111333,0,NA,110062
5,278,IEV,scram,27,0.8629557893992115,27,23.60175461313646,962,112949,114032,114332,115181,0,NA,113911
