run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
3,127,CEVR,scram,160,0.23212045169385195,0,37.232120451693845,610,2545,3262,3561,4411,0,NA,3155
3,128,CEVR,scram,125,0.28625110521662245,125,35.854995579133515,1680,5528,7310,7610,8460,0,NA,7208
3,129,CEVR,scram,137,0.27706461275139066,0,37.83119383825417,1524,9926,11559,11859,12708,0,NA,11450
3,130,CEVR,scram,152,0.23805147058823528,0,36.28584558823529,754,13975,14841,15141,15990,0,NA,14729
3,131,CEVR,scram,126,0.29949121184088806,126,37.59898242368177,1868,17357,19340,19641,20489,0,NA,19225
3,132,CEVR,scram,121,0.2971546581000459,0,35.811381367599814,1843,21705,23655,23956,24804,0,NA,23548
3,133,CEVR,scram,110,0.3415084388185654,0,37.68301687763713,2406,26370,28886,29186,30035,0,NA,28776
3,134,CEVR,scram,121,0.2994219653179191,0,36.10173410404625,1887,31102,33085,33384,34234,0,NA,32989
3,135,CEVR,scram,132,0.28195079468756806,0,37.281950794687575,1607,35501,37217,37518,38366,0,NA,37108
3,136,CEVR,scram,133,0.2829982517482517,133,37.5659965034965,1629,39932,41665,41965,42814,0,NA,41561
3,137,CEVR,scram,116,0.30520857883572944,116,35.47395710582135,1966,44231,46297,46596,47446,0,NA,46197
3,138,CEVR,scram,139,0.2692307692307692,139,37.53846153846154,1388,48663,50162,50462,51311,0,NA,50051
3,139,CEVR,scram,152,0.2379202645599853,152,36.04831894176006,760,52628,53494,53794,54643,0,NA,53388
3,140,CEVR,scram,164,0.2301403945263906,0,37.69042118357917,581,55910,56593,56893,57742,0,NA,56491
3,141,CEVR,scram,115,0.3137112403100775,0,36.05886627906976,2079,58809,60992,61293,62141,0,NA,60888
3,142,CEVR,scram,150,0.24305555555555558,0,36.51388888888889,877,63707,64690,64990,65840,0,NA,64584
3,143,CEVR,scram,107,0.3390052356020942,107,36.32198952879581,2379,67389,69872,70171,71021,0,NA,69768
3,144,CEVR,scram,107,0.33247753530166885,0,35.67008985879334,2306,72188,74604,74903,75753,0,NA,74494
3,145,CEVR,scram,107,0.34105873057677116,0,36.65894126942324,2401,77086,79602,79901,80751,0,NA,79487
3,146,CEVR,scram,130,0.285935085007728,0,37.285935085007736,1678,81968,83750,84052,84900,0,NA,83646
3,147,CEVR,scram,120,0.30980861244019137,0,37.30980861244019,2024,86066,88199,88500,89348,0,NA,88090
3,148,CEVR,scram,159,0.23558304529743496,0,37.47116609059487,723,90914,91731,92030,92880,0,NA,91637
3,149,CEVR,scram,146,0.25572669826224326,0,37.25572669826224,1147,93997,95246,95548,96395,0,NA,95144
3,150,CEVR,scram,130,0.29512306289881496,0,38.47561531449407,1816,97895,99811,100113,100961,0,NA,99711
3,151,CEVR,scram,122,0.2978380864765409,0,36.40432382704692,1868,102077,104043,104345,105192,0,NA,103945
3,152,CEVR,scram,119,0.32126023319275615,0,38.285040932771025,2152,106576,108842,109141,109991,0,NA,108728
3,153,CEVR,scram,86,0.45711260148252736,0,39.285563007412634,3359,111124,114590,114889,115739,0,NA,114483
3,154,CEVR,scram,65,0.551063829787234,0,35.897872340425536,3847,116922,120871,121172,122020,0,NA,120769
3,155,CEVR,scram,166,0.22993607954545453,166,38.149680397727266,568,123553,124219,124521,125369,0,NA,124121
3,156,CEVR,scram,160,0.22989526007456063,160,36.77010473992544,568,126952,127618,127918,128767,0,NA,127520
3,157,CEVR,scram,157,0.23059116809116809,0,36.308226495726494,580,129951,130634,130933,131783,0,NA,130531
3,158,CEVR,scram,145,0.25140749369054555,0,36.497185012618914,1048,133016,134166,134484,135315,0,NA,134064
3,159,CEVR,scram,143,0.25884469318408954,0,36.99999999999999,1197,136515,137815,138114,138964,0,NA,137712
3,160,CEVR,scram,156,0.23757108787378464,0,37.0,738,140547,141397,141696,142546,0,NA,141285
3,161,CEVR,scram,160,0.2361415025528811,160,37.70842450765864,708,143979,144796,145095,145945,0,NA,144687
3,162,CEVR,scram,159,0.23396567299006324,0,37.23396567299006,655,147528,148294,148594,149444,0,NA,148183
3,163,CEVR,scram,162,0.22517822987306554,0,36.54964354025387,450,150677,151227,151526,152376,0,NA,151127
3,164,CEVR,scram,161,0.22977288857345635,0,37.0,572,153959,154625,154927,155775,0,NA,154531
3,165,CEVR,scram,160,0.23187108325872874,0,36.99999999999999,610,156908,157624,157926,158774,0,NA,157518
3,166,CEVR,scram,159,0.22981366459627328,159,36.54037267080745,561,160157,160823,161123,161972,0,NA,160718
3,167,CEVR,scram,166,0.22065087749190662,0,36.55869824501619,333,163106,163539,163839,164688,0,NA,163439
3,168,CEVR,scram,159,0.2304270462633452,159,36.539145907473305,571,166221,166904,167206,168054,0,NA,166792
3,169,CEVR,scram,155,0.23818282140886515,0,36.99999999999999,759,169237,170103,170403,171253,0,NA,169996
3,170,CEVR,scram,159,0.23601239292874066,159,37.47202478585748,713,172636,173452,173752,174601,0,NA,173349
3,171,CEVR,scram,157,0.23245377849578172,0,36.53509244300844,633,175735,176468,176767,177617,0,NA,176368
3,172,CEVR,scram,161,0.23224533715925394,0,37.464490674318505,629,178667,179400,179700,180549,0,NA,179296
3,173,CEVR,scram,167,0.22635902814193323,167,37.905436112567735,479,181883,182466,182765,183615,0,NA,182362
3,174,CEVR,scram,161,0.23034507292778372,0,37.00000000000001,577,184998,185681,185983,186830,0,NA,185575
3,175,CEVR,scram,158,0.23241206030150752,0,36.767587939698494,626,188114,188847,189146,189996,0,NA,188740
3,176,CEVR,scram,148,0.24794179590273788,148,36.75205820409727,971,191429,192512,192814,193661,0,NA,192400
3,177,CEVR,scram,137,0.2604061934446008,0,35.69796903277699,1223,195194,196527,196829,197677,0,NA,196417
3,178,CEVR,scram,141,0.2584314508082219,141,36.48313709838355,1189,198976,200276,200576,201425,0,NA,200165
